

  Epoch 58/200: G_loss=2.1874, F_loss=2.1511, Patience=4/5
  Epoch 59/200: G_loss=2.1236, F_loss=2.0816, Patience=0/5
  Epoch 60/200: G_loss=2.1240, F_loss=2.0669, Patience=0/5
  Epoch 61/200: G_loss=2.1086, F_loss=2.0405, Patience=0/5
  Epoch 62/200: G_loss=2.1750, F_loss=2.1003, Patience=1/5
  Epoch 63/200: G_loss=2.2228, F_loss=2.1321, Patience=2/5
  Epoch 64/200: G_loss=2.1594, F_loss=2.0672, Patience=3/5
  Epoch 65/200: G_loss=2.1386, F_loss=2.0500, Patience=4/5
  Epoch 66/200: G_loss=2.1123, F_loss=2.0466, Patience=5/5
  EARLY STOPPING triggered at Epoch 66.

